week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion,amazon search volume,google search index,amazon search index,sales_revenue,amz_search_without_keywords,amz_rev,dtc_rev,total_rev
2023/9/24,299109.13,46051.25,9261.39,0,2752.89,80737.02,0,78861.19,39635.28,4768.54,150459.93,0,0,2560911,50,38.9436262,17708718.2,1197063,9717122.15,440921.1,10158043.25
2023/10/1,298167.07,60976.86,8515.56,0,2709.54,62805.74,0,81864.9,40900.73,97012.73,181036.75,0,0,2647456,48,40.45569929,14995145.4,1049588,8396991.4,317541.77,8714533.17
2023/10/8,383055.83,71534.01,25535.88,0,2923.06,80229.27,0,169967.77,75333.6,139907.17,455576.01,0,1,2324342,64,34.81040513,30945608.69,2091565,17291534.93,397481.65,17689016.58
2023/10/15,273294.68,52863.74,14404.73,0,2117.66,41253.47,0,64108.49,18653.59,136344.06,230026.47,0,0,4936374,52,80.44658614,14729271.25,972818,8466715.54,331230.85,8797946.39
2023/10/22,278400.89,60970.81,9870.23,0,2511.58,33287.37,0,44648.06,18145.77,99110.97,170617.58,0,0,2562740,47,38.97558162,15137589.58,906343,7761096.575,276196.12,8037292.695
2023/10/29,276657.43,61014.57,9547.37,0,2320.61,37714.58,0,54437.71,17466.67,34812.62,142097.84,0,0,2083408,45,30.60092085,15498969.04,858393,8352018.292,271722.91,8623741.202
2023/11/5,274016.88,56262.07,7833.05,0,3040.62,33562.17,0,59077.01,14768.87,35890.93,133760.93,0,0,2078567,47,30.5163412,15825954.19,872499,7900321.783,403522.57,8303844.353
2023/11/12,213652.75,41565.1,4160.74,0,3189.9,54460.08,0,88166.48,24792.69,85234.25,173236.43,0,1,2121175,51,31.26076792,18750247.7,966928,8721309.865,476430.5,9197740.365
2023/11/19,206211.19,42709.94,3009.66,0,5163.79,90732.9,0,143082.9,81925.21,226635.53,355769.84,0,1,2735443,78,41.99296631,40139604.06,2103524,18804983.81,789859.56,19594843.37
2023/11/26,161738.34,32843.97,1868.11,0,7469.63,77829.93,0,107400.59,54862.75,91115.74,254498.47,0,1,5353699,62,87.73789009,26303391.1,1525865,13774181.66,543530.02,14317711.68
2023/12/3,107699.1,10519.54,482.86,0,2976.32,59204.98,0,63671.43,32118.74,45131.53,109667.01,0,0,4039068,51,64.7692824,17014844.75,986025,10109200.1,335083.64,10444283.74
2023/12/10,93271.99,1642.53,6.92,0,2891.12,45606.32,0,61414.32,34964.8,157214.37,90736.81,0,0,2220806,51,33.00147337,19277746.73,991894,10968138.26,343749.39,11311887.65
2023/12/17,92615.97,2028.97,6.99,0,2597.87,33656.61,0,60149.38,37449.4,110047.32,72287.49,0,0,2311666,50,34.58893609,16590427.04,1059323,9410659.641,298052.34,9708711.981
2023/12/24,93951.42,2516.08,7,0,3119.16,40705.67,0,54259.63,25958.7,226399.15,40496.7,0,0,2344451,61,35.16174002,14784787.44,1074009,8594570.99,343780.6,8938351.59
2023/12/31,94186.64,4349.31,197.56,0,2491.14,25495.33,0,8981.04,3822.21,29024.82,23110.73,0,0,2359218,46,35.41974202,18011621.1,860807,8315078.98,276781.87,8591860.85
2024/1/7,119322.79,13043.19,348.35,0,1981.75,41078.15,8332.15,19138.13,8014.89,22171.33,40935.44,0,0,2358576,51,35.4085253,14838754.56,840411,8098716.059,400430.73,8499146.789
2024/1/14,150325.59,18605.18,348.94,0,2013.31,29798.31,0,19991.42,9988.09,51009.99,42437.72,0,0,2037850,42,29.80495314,14249339.97,789046,7644254.371,339116.5,7983370.871
2024/1/21,165889.83,27429.69,167.46,0,1917.48,30924.45,0,15887.04,8340.8,77164.94,36536.57,0,0,1838588,39,26.32354223,14601379.98,782153,8080688.55,278979.6,8359668.15
2024/1/28,199604.54,24497.3,35.45,0,1832.12,28435.47,0,17785.68,6527.39,56326.75,28035.01,0,0,1854784,45,26.60651104,16547664.07,784862,8267513.299,321160.88,8588674.179
2024/2/4,206789.82,25314.26,438.18,0,1763.35,25915.36,0,18859.27,5007.81,52460.55,29222.44,0,0,2064975,44,30.27886824,14746740.13,748981,8134436.626,247630.33,8382066.956
2024/2/11,212695.25,25435.71,422.96,0,1727.77,29043.96,257.46,24511.81,7949.01,41201.36,31102.05,0,0,1927099,42,27.86996434,14366884.12,712903,7962614.303,249984.25,8212598.553
2024/2/18,258178.9,26885.23,168.67,0,1505.97,23930.01,342.33,15943.85,4345.16,43344,32286.26,0,0,1742395,52,24.64290388,14796169.32,775203,8218116.172,308376.25,8526492.422
2024/2/25,279248.18,23715.09,455.75,0,2326.18,30255.67,529.46,19118.23,3557.85,60240.18,42033.15,0,0,1856435,45,26.63535653,16982264.7,751406,8477344.66,284942.75,8762287.41
2024/3/3,296013.08,24194.6,1470.47,0,2561.48,32831.77,219.65,18264.14,4134.49,51478.98,50360.33,0,0,2016365,48,29.42957744,16983775.93,745267,8524615.013,245449.69,8770064.703
2024/3/10,283031.82,24183.73,1506.12,0,2913.74,31650.52,217.18,18877.11,4957.97,51361.28,63341.62,0,0,1972818,43,28.66874496,15353738.46,731610,8169636.462,309959.98,8479596.442
2024/3/17,277080.8,24741.01,769.25,0,3766.71,48399.71,214.8,40272.74,9609.81,65162.66,128177.14,0,0,1784341,48,25.37576444,18265382.75,821389,9395588.469,352276.93,9747865.399
2024/3/24,252041.74,23993.46,353.15,0,4317.77,44865.03,189.65,29845.3,8612.27,52285.33,80462.6,0,0,2171330,49,32.13705223,16527401.08,778596,8223410.679,357183.23,8580593.909
2024/3/31,273097.82,26094.44,348.1,0,3396.83,45855.4,328.03,31060.31,5880,19441.29,66834.02,0,0,2113784,45,31.13163588,16411033.76,767751,8755763.412,314961.11,9070724.522
