week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion,amazon search volume,google search index,amazon search index,sales_revenue,amz_search_without_keywords,amz_rev,dtc_rev,total_rev,spa_impressions,sb_impressions,sd_impressions,bing_impressions,google_youtube_impressions,google_without_youtube_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,fincast_impressions
2023-05-28,175394.33,22532.75,4948.44,0,804.95,24781.57,1039.99,16895.14,2374.02,3465.34,66248.55,0,0,1103872,40,13.48693366,13383725.21,609976,6409434.21,189210.16,6598644.37,25269427,2398070,1679582,35053,0,1396582,2961542,1043764,482193,5579776,0
2023-06-04,177263.49,24853.17,5039.32,0,1846.75,30089.96,157.59,39169.4,7600.68,5950.96,70911.69,0,0,1599127,40,22.13979351,12746304.02,621514,6866815.43,241405.35,7108220.78,28160923,2428283,1291298,358931,0,2191414,5549410,4424528,719506,6699329,0
2023-06-11,189623.97,25268.42,5398.75,0,1786.09,35424.57,655.31,39936.86,4377.81,6922.45,79108.34,0,0,1518057,44,20.72337702,13194567.27,637128,7217622.061,250104.77,7467726.831,29403799,2629703,1250048,46037,0,2441526,5213702,2283707,1294339,7110245,0
2023-06-18,193981.7,26033.97,5191.31,0,1702.63,35834.74,1301.45,40028.61,316.7,4174.47,90937.65,0,0,1558536,45,21.43060686,12695443.09,663059,7067642.611,217836.1,7285478.711,32378583,2677406,1280705,106661,0,2012355,4716315,140255,775634,7584822,0
2023-06-25,195681.52,26860.17,5341.01,0,2146.16,30474.87,1001.16,37278.22,0,2744.43,84982.67,0,0,1552712,43,21.3288527,12125761.09,664103,6561485.15,205268.5,6766753.65,32930515,2581470,1580215,43791,0,2405672,4288551,0,553708,6779738,0
2023-07-02,223778.77,30585.4,3924.57,0,2408.15,22588.99,0,21208.47,0,0,59641.77,0,0,1642785,44,22.90256533,12728311.97,698502,6057477.53,243976.33,6301453.86,32355106,2714664,531479,177564,0,2682008,2884108,0,0,5963698,0
2023-07-09,229557.37,47277.48,6093.85,0,2699.48,24510.1,0,28650.49,0,0,161431.08,0,1,1840358,57,26.35446683,33600960.33,1820996,17296925.63,292071.9,17588997.53,30273885,4234285,784227,203732,0,2575006,3316650,0,0,16069036,0
2023-07-16,214427.76,43069.82,7620.8,0,2366.97,19113.21,0,24876.39,0,0,77505.64,0,0,5215002,44,85.31464206,11942791.49,689707,6337962.06,200760.82,6538722.88,30910943,3979921,1554839,144490,0,2246895,2952764,0,0,7552536,0
2023-07-23,236754.91,42970.12,9162.39,0,2221.28,16589.49,0,19372.39,0,0,61065.63,0,0,1718599,46,24.22715148,12490091.02,636914,6683969.68,189889.39,6873859.07,33175277,3724547,1949943,211770,0,2508457,4329041,0,0,6005455,0
2023-07-30,335603.18,57016.61,11462.86,0,2404.33,39552.14,0,112212.17,29472,0,144335.67,0,0,1705716,46,24.00206583,14529679.79,730710,7806663.19,348267.34,8154930.53,42727845,3766007,2767433,398325,0,6710157,31603904,17405499,0,10527806,0
2023-08-06,416890.72,78988.07,15190.84,0,2363.29,25749.23,0,124439.43,30143.38,0,211082.56,0,0,1923372,44,27.80484796,14061583.36,747661,7942818.62,266807.07,8209625.69,45694663,4009633,3720548,366607,0,2690453,31712696,18951536,0,12221228,0
2023-08-13,414038.21,94325.19,14110.42,0,2241.55,21149.61,437.58,124986.41,29259.27,0,232760.65,0,0,1895899,50,27.32485277,13998073.38,772781,7825153.26,285408.74,8110562,45867168,4400653,3720322,91987,0,2185896,28209754,15746873,0,13208074,0
2023-08-20,468287.7,98931.72,15974.4,0,2374.19,30916.3,850.92,130219.23,41802.88,0,201089.87,0,0,1990834,46,28.98351195,13995252.27,735291,7568380.31,311076.77,7879457.08,55274966,4380303,4044707,232437,0,2812477,21749510,25141152,0,12699444,0
2023-08-27,529743.96,107197.2,21773.97,0,2015.8,33443.4,855.09,81255.98,52344.12,0,181578.11,0,0,1710240,43,24.08110701,14572689.32,725664,7541523.18,320277.09,7861800.27,60765983,4626719,4907551,112563,0,3066235,10797672,29774748,0,13053472,0
2023-09-03,582399.53,102829.48,22325.41,0,1784.07,39222.63,860.77,91478.13,37736.76,3276.82,162362.31,0,0,1962189,40,28.48304013,14508651.6,723302,7731919.018,295323.62,8027242.638,67297579,4794287,4951946,52597,0,2695832,12285432,16551981,463869,14080209,0
2023-09-10,638027.23,90549.12,18552.42,496.15,1903.65,62169.89,746.2,80142.56,12370.89,10351.34,135350.37,0,0,1907403,48,27.52584519,17226562.5,910942,9816413.485,460693.79,10277107.27,74354524,4362911,4001249,62995,89141,5847112,10153286,4283795,1250511,12632580,0
2023-09-17,512679.75,72286.12,13134.12,0,2407.56,74954.19,346.18,59522.39,16641.04,16896.9,124723.22,0,0,2173865,54,32.18134254,19841221.47,1091879,11122678.7,522367.33,11645046.03,51965752,4775296,2282796,74450,0,8776252,8276034,6384496,2030351,11438244,0
2023-09-24,299109.13,46051.25,9261.39,0,2752.89,80737.02,0,78861.19,39635.28,4768.54,150459.93,0,0,2560911,50,38.9436262,17708718.2,1197063,9717122.15,440921.1,10158043.25,31691225,2622785,1549823,74843,0,16714385,10408087,14544791,962000,14968981,0
2023-10-01,298167.07,60976.86,8515.56,0,2709.54,62805.74,0,81864.9,40900.73,97012.73,181036.75,0,0,2647456,48,40.45569929,14995145.4,1049588,8396991.4,317541.77,8714533.17,36638737,3281470,1260877,78032,0,16099670,11071618,14613908,20056526,24759559,0
2023-10-08,383055.83,71534.01,25535.88,0,2923.06,80229.27,0,169967.77,75333.6,139907.17,455576.01,0,1,2324342,64,34.81040513,30945608.69,2091565,17291534.93,397481.65,17689016.58,48868566,3628819,3632525,114919,0,15460748,18712726,36301364,31934880,52622106,0
2023-10-15,273294.68,52863.74,14404.73,0,2117.66,41253.47,0,64108.49,18653.59,136344.06,230026.47,0,0,4936374,52,80.44658614,14729271.25,972818,8466715.54,331230.85,8797946.39,40241683,3564688,3358024,128655,0,4315159,8438785,8186893,36420791,26049160,0
2023-10-22,278400.89,60970.81,9870.23,0,2511.58,33287.37,0,44648.06,18145.77,99110.97,170617.58,0,0,2562740,47,38.97558162,15137589.58,906343,7761096.575,276196.12,8037292.695,41131805,3883971,3265215,148806,0,3938954,6139104,5913345,21166757,18664820,0
2023-10-29,276657.43,61014.57,9547.37,0,2320.61,37714.58,0,54437.71,17466.67,34812.62,142097.84,0,0,2083408,45,30.60092085,15498969.04,858393,8352018.292,271722.91,8623741.202,47971529,4558620,2563061,160611,0,5567825,7950248,7332753,4916094,11042742,0
2023-11-05,274016.88,56262.07,7833.05,0,3040.62,33562.17,0,59077.01,14768.87,35890.93,133760.93,0,0,2078567,47,30.5163412,15825954.19,872499,7900321.783,403522.57,8303844.353,44399531,4556774,1604643,156745,0,4158596,8318539,6955776,4374695,9918567,0
2023-11-12,213652.75,41565.1,4160.74,0,3189.9,54460.08,0,88166.48,24792.69,85234.25,173236.43,0,1,2121175,51,31.26076792,18750247.7,966928,8721309.865,476430.5,9197740.365,39953819,4043643,668951,151310,0,5248242,9209815,15942511,9941719,13438015,0
2023-11-19,206211.19,42709.94,3009.66,0,5163.79,90732.9,0,143082.9,81925.21,226635.53,355769.84,0,1,2735443,78,41.99296631,40139604.06,2103524,18804983.81,789859.56,19594843.37,65527328,3450139,372636,163029,0,5944884,10136208,46384519,21880147,26881257,0
2023-11-26,161738.34,32843.97,1868.11,0,7469.63,77829.93,0,107400.59,54862.75,91115.74,254498.47,0,1,5353699,62,87.73789009,26303391.1,1525865,13774181.66,543530.02,14317711.68,56454121,3637547,256264,700896,0,5605215,9642032,31909863,9624564,26005891,0
2023-12-03,107699.1,10519.54,482.86,0,2976.32,59204.98,0,63671.43,32118.74,45131.53,109667.01,0,0,4039068,51,64.7692824,17014844.75,986025,10109200.1,335083.64,10444283.74,30920458,1326813,79186,235964,0,5598548,7372532,17909857,6850309,12177843,0
2023-12-10,93271.99,1642.53,6.92,0,2891.12,45606.32,0,61414.32,34964.8,157214.37,90736.81,0,0,2220806,51,33.00147337,19277746.73,991894,10968138.26,343749.39,11311887.65,21427039,148141,1200,99854,0,4365848,7199893,13678838,21046337,11132949,0
