,week,spa_spend,sb_spend,sd_spend,google_youtube_spend,bing_spend,google_without_youtube_spend,fb-ig_spend,twitter_spend,tiktok_spend,dsp_spend,fincast_spend,spa_impressions,sb_impressions,sd_impressions,bing_impressions,google_youtube_impressions,google_without_youtube_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,fincast_impressions,amazon_search_volume,google_search_index,promotion,amz_rev,dtc_rev,total_rev
75,2023-07-09,1787416.31,575759.19,92989.82,13982.01,104845.22,423014.35,832094.81,0,54026.1,1062640.36,0,310819001,53838256,18340808,772113,16301976,20616255,90081845,0,10990654,153289091,0,8852654,48,1,107291542.9,7138673.337,114430216.2
76,2023-07-16,673363.53,195397.43,34099.04,11250.12,3205.94,284973.45,206203.21,0,2890.61,154825.33,0,161498473,27024472,14212167,553654,727587,15943261,25297302,0,2856992,30309663,0,2765877,36,0,25389860.54,3117003.156,28506863.69
77,2023-07-23,714330.74,200103.86,35101.06,11415.99,9248.48,252222.5,185401.48,0,2651.51,103849.42,0,168761022,28141598,13895378,586971,1965624,14615782,23688591,0,1905797,19795983,0,2739308,35,0,26145908.07,2549399.351,28695307.42
78,2023-07-30,852459.66,231432.73,38706.75,9015.47,10329.8,291483.96,339931.94,29472,9002.61,245094.37,0,184197802,31530711,13675230,724801,2506051,22605145,64615807,17405499,6167650,33722062,0,2988071,37,0,28886344.47,2974200.807,31860545.28
79,2023-08-06,960612.38,250325.68,42053.67,9033.21,9643.43,241757.83,352554.41,30143.38,16673.81,306310.05,0,185270281,31929795,13240855,654989,2389046,14592571,67481670,18951536,8483921,35187659,0,2927331,38,0,28344233.77,2504060.956,30848294.72
80,2023-08-13,989017.11,282900.24,41942.97,11056.51,14720.98,244691.61,419293.27,29259.27,21661.45,337735.72,0,192061004,31761446,14442350,533519,2952121,14565518,69369960,15746873,8779101,38897237,0,3043519,37,0,29101231.55,2966265.794,32067497.35
81,2023-08-20,1050250.43,291070.07,42928.61,12092.22,74535.68,300123.31,534792.26,41802.88,85418.42,330013.62,0,207138925,31074438,14830690,1005675,11248343,17597638,63234169,25141152,14604148,38896733,0,2673109,35,0,29085551.35,3228339.287,32313890.64
82,2023-08-27,1232406.48,313191.96,51171.69,11982.6,263280.92,308153.67,475968.29,56188.59,99267.46,757565.31,0,233612786,32904731,16074948,474325,31976264,18335766,60673819,31857309,17871035,115097176,0,3078671,37,0,31701483.73,3204515.897,34905999.63
83,2023-09-03,1263150.34,309224.11,50032.27,11165.23,213672.27,343512.66,467014.78,43859.36,30043.93,525719.72,0,238595253,32840244,13559429,398650,31335283,16208470,61362498,18782164,11760927,80539175,0,3011397,36,0,32749625.23,3702579.514,36452204.74
84,2023-09-10,1273930.31,298244.27,42906.07,10657.18,32721.31,339068.32,341550.51,15584.81,19546.03,380837.63,0,252011672,33344765,12820437,423831,4776241,18695708,41243968,5428293,5187324,63262891,0,3283155,41,0,31940244.89,2967295.616,34907540.51
